X1,X2,Y
2,4,1
64,25,0
35,70,1
1,47,1
39,5,0
28,75,1
7,21,1
38,38,1
93,11,0
70,9,0
29,98,1
43,77,1
49,31,0
3,11,1
2,75,1
60,55,0
2,86,1
96,1,0
68,30,0
7,99,1
71,18,0
51,9,0
98,50,0
59,2,0
16,64,1
93,25,0
85,66,0
37,54,1
23,30,1
1,48,1
5,4,0
13,8,0
54,96,1
54,76,1
17,92,1
65,65,1
7,24,1
26,1,0
94,91,0
24,46,1
25,11,0
9,73,1
48,91,1
69,31,0
95,87,0
23,22,0
84,99,1
18,97,1
100,59,0
30,36,1
10,15,1
36,71,1
31,8,0
57,23,0
93,57,0
32,67,1
2,44,1
2,42,1
99,39,0
21,19,0
14,4,0
94,38,0
2,72,1
7,50,1
74,66,0
7,28,1
68,2,0
23,88,1
48,24,0
38,94,1
62,54,0
76,32,0
64,28,0
90,71,0
92,3,0
79,8,0
87,30,0
63,21,0
66,59,0
51,35,0
86,52,0
43,76,1
37,56,1
20,6,0
30,35,1
42,63,1
73,40,0
59,40,0
42,32,0
12,9,0
23,24,1
82,15,0
92,18,0
58,39,0
18,75,1
75,42,0
2,21,1
49,5,0
98,64,0
45,46,1
